id,sourceFile,sourceType,section,domain,skill,difficulty,decision,reason,previousVisibility,previousPublicationStatus
antigravity-1cf69644,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Words in Context,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-773536a3,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Words in Context,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-7b068a56,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-d47dfe23,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Text Structure and Purpose,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-ffaf3b4b,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-4281a859,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Central Ideas and Details,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-33561fa3,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-31c60357,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Inferences,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-67afaf3e,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-737739b8,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Quantitative,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-1fa68434,antigravity-bank.json,antigravity,Reading and Writing,Craft and Structure,Cross-Text Connections,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-6f96846e,antigravity-bank.json,antigravity,Reading and Writing,Information and Ideas,Command of Evidence: Textual,Hard,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-1ba6d9bd,antigravity-bank.json,antigravity,Math,Algebra,Linear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-ad998788,antigravity-bank.json,antigravity,Math,Algebra,Linear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-57fba752,antigravity-bank.json,antigravity,Math,Algebra,Linear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-86d20049,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-99796bff,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-6584eee0,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-895528be,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in one variable,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-05a6023b,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in one variable,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-347815cd,antigravity-bank.json,antigravity,Math,Algebra,Linear equations in one variable,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-c46ebf6f,antigravity-bank.json,antigravity,Math,Algebra,Linear inequalities in one or two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-f9389f91,antigravity-bank.json,antigravity,Math,Algebra,Linear inequalities in one or two variables,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-0044b918,antigravity-bank.json,antigravity,Math,Algebra,Linear inequalities in one or two variables,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-2fda472d,antigravity-bank.json,antigravity,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-32c849bd,antigravity-bank.json,antigravity,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-d6f91384,antigravity-bank.json,antigravity,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-34034995,antigravity-bank.json,antigravity,Math,Geometry and Trigonometry,"Lines, angles, and triangles",Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-afffe099,antigravity-bank.json,antigravity,Math,Advanced Math,Nonlinear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-0993a309,antigravity-bank.json,antigravity,Math,Advanced Math,Nonlinear functions,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-5693417b,antigravity-bank.json,antigravity,Math,Advanced Math,Nonlinear functions,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-0dcf6066,antigravity-bank.json,antigravity,Math,Advanced Math,Nonlinear equations in one variable,Easy,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
antigravity-fcc6fa59,antigravity-bank.json,antigravity,Math,Advanced Math,Nonlinear equations in one variable,Medium,promote_or_keep_public,promote_public_candidate,private_family,private_reviewed
