priority,section,domain,count,sectionTotal,actualPct,satTargetPct,deltaPctPoints,action,recommendedAdditionalReviewedCore
P3,Reading and Writing,Information and Ideas,1165,4169,27.9,26.0,1.9,maintain,0
P3,Reading and Writing,Craft and Structure,1120,4169,26.9,28.0,-1.1,maintain,66
P3,Reading and Writing,Expression of Ideas,787,4169,18.9,20.0,-1.1,maintain,59
P3,Reading and Writing,Standard English Conventions,1097,4169,26.3,26.0,0.3,maintain,0
P1,Math,Algebra,1548,4851,31.9,35.0,-3.1,expand,231
P3,Math,Advanced Math,1605,4851,33.1,35.0,-1.9,maintain,143
P2,Math,Problem-Solving and Data Analysis,989,4851,20.4,15.0,5.4,deprioritize_surplus,0
P3,Math,Geometry and Trigonometry,709,4851,14.6,15.0,-0.4,maintain,22
