"severity","code","questionId","sourceFile","topicId","field","path","message"
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.085","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[134]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.086","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[135]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.087","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[136]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.088","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[137]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.089","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[138]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.090","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[139]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.091","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[140]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.092","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[141]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.093","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[142]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.094","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[143]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
