"severity","code","questionId","sourceFile","topicId","field","path","message"
"warning","import.source.unmapped_blocks","","44444.docx","","","import.issues[0]","1 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","4444444444444444.doc","","","import.issues[1]","2 exercise blocks were not mapped to a topic."
"warning","import.source.no_exercise_blocks","","bai-tap-ve-so-tu-nhien-lop-6.doc","math6.number.sets_natural_numbers","","import.issues[2]","No exercise blocks were detected in this source."
"warning","import.source.unmapped_blocks","","Bo - De-KS-daunam-2011-2012-kimDongTHCS-Toan.DOC","","","import.issues[3]","7 exercise blocks were not mapped to a topic."
"warning","import.source.no_exercise_blocks","","Chuyên đề. Ba dạng toán cơ bản về phân số.doc","math6.number.fraction_operations","","import.issues[4]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","Chuyên đề. Góc.doc","math6.geometry.angles","","import.issues[5]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","chuyen-de-boi-duong-hoc-sinh-gioi-mon-toan-lop-6-day-so-viet-theo-quy-luat.doc","math6.advanced.sequence_patterns","","import.issues[6]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","công tru so nguyen/phieu On tap.docx","math6.number.integers_intro","","import.issues[7]","No exercise blocks were detected in this source."
"warning","import.source.unmapped_blocks","","de-khao-sat-chat-luong-dau-nam-lop-6-mon-toan-nam-2013-2014-truong-thcs-binh-minh.doc","","","import.issues[8]","3 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kiem-tra-giua-ki-1-mon-toan-lop-6-nam-2015-2016-phong-gd-luc-ngan (1).doc","","","import.issues[9]","1 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kiem-tra-giua-ki-1-mon-toan-lop-6-nam-2015-2016-phong-gd-luc-ngan.doc","","","import.issues[10]","1 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kiem-tra-hk-1-mon-toan-lop-6-nam-2014-2015-thcs-thi-tran-trang-bang.doc","","","import.issues[11]","1 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kiem-tra-hoc-ki-1-mon-toan-lop-6.doc","","","import.issues[12]","30 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kscl-dau-nam-lop-6-mon-toan-2013-2014-thcs-quat-dong.doc","","","import.issues[13]","3 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kscl-dau-nam-lop-6-toan-nam-2013-2014-phong-gd-dt-duc-tho.doc","","","import.issues[14]","3 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kscl-dau-nam-lop-6-toan-nam-2014-2015-truong-thcs-ngo-may.doc","","","import.issues[15]","1 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kscl-dau-nam-toan-6-nam-2014-2015-thcs-xuan-duong.doc","","","import.issues[16]","4 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-kscl-giua-ky-mon-toan-lop-6.doc","","","import.issues[17]","2 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-ktra-giua-hk-mon-toan-lop-6-truong-nhan-my.doc","","","import.issues[18]","2 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-thi-hk-1-mon-toan-lop-6-nam-2013-2014-huyen-long-my.doc","","","import.issues[19]","2 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","de-thi-khao-sat-chat-luong-dot-1-mon-toan-lop-6-truong-thcs-ngu-lao-nam-2015-2016.doc","","","import.issues[20]","2 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","De-thi-Tuyen-sinh-lop6-Nguyen-Tri-Phuong-2012.doc","","","import.issues[21]","6 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","Ktra giua ky 1.doc","","","import.issues[22]","2 exercise blocks were not mapped to a topic."
"warning","import.source.no_exercise_blocks","","Luy thua/Luy thua- chu so tan cung.docx","math6.number.powers_order_operations","","import.issues[23]","No exercise blocks were detected in this source."
"warning","import.source.unmapped_blocks","","Ôn thi cuối kì 1/Đề thi cuối kì 1.doc","","","import.issues[24]","2 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","Ôn thi cuối kì 1/de-cuong-on-tap-toan-6-hoc-ki-1_44655.doc","","","import.issues[25]","3 exercise blocks were not mapped to a topic."
"warning","import.source.no_exercise_blocks","","So sánh phân số lớp 6.doc","math6.number.fraction_foundation","","import.issues[26]","No exercise blocks were detected in this source."
"warning","pedagogy.scored_practice_excluded.formula_image_untranscribed","math6.number_sets_natural_numbers.123doc_vn_luyen_tap_phan_tich_ra_thua_so.06k2x6x.007","[123doc.vn] - luyen-tap-phan-tich-ra-thua-so-nguyen-to.doc","math6.number.sets_natural_numbers","pedagogy","questions[6]","Question uses recovered formula image(s) but has no machine-readable answer key yet; keep it for review, not scored practice."
"warning","pedagogy.scored_practice_excluded.bulk_exercise_list","math6.number_sets_natural_numbers.30dehsgtoan6_doc.1wmog8n.004","30DeHSGToan6.doc","math6.number.sets_natural_numbers","pedagogy","questions[63]","Imported block contains many sub-exercises or lost exponent formatting; split/transcribe it before scored practice."
"warning","pedagogy.scored_practice_excluded.bulk_exercise_list","math6.number_sets_natural_numbers.30dehsgtoan6_doc.1wmog8n.029","30DeHSGToan6.doc","math6.number.sets_natural_numbers","pedagogy","questions[88]","Imported block contains many sub-exercises or lost exponent formatting; split/transcribe it before scored practice."
"warning","pedagogy.scored_practice_excluded.bulk_exercise_list","math6.number_sets_natural_numbers.30dehsgtoan6_doc.1wmog8n.030","30DeHSGToan6.doc","math6.number.sets_natural_numbers","pedagogy","questions[89]","Imported block contains many sub-exercises or lost exponent formatting; split/transcribe it before scored practice."
"warning","pedagogy.scored_practice_excluded.formula_image_untranscribed","math6.number_sets_natural_numbers.30dehsgtoan6_doc.1wmog8n.050","30DeHSGToan6.doc","math6.number.sets_natural_numbers","pedagogy","questions[109]","Question uses recovered formula image(s) but has no machine-readable answer key yet; keep it for review, not scored practice."
"warning","pedagogy.scored_practice_excluded.source_metadata","math6.advanced_divisibility_hsg.30dehsgtoan6_doc.1wmog8n.060","30DeHSGToan6.doc","math6.advanced.divisibility_hsg","pedagogy","questions[119]","Imported block is source metadata such as duration or exam heading, not a scored practice question."
"warning","pedagogy.scored_practice_excluded.formula_image_untranscribed","math6.number_sets_natural_numbers.30dehsgtoan6_doc.1wmog8n.061","30DeHSGToan6.doc","math6.number.sets_natural_numbers","pedagogy","questions[120]","Question uses recovered formula image(s) but has no machine-readable answer key yet; keep it for review, not scored practice."
