"severity","code","questionId","sourceFile","topicId","field","path","message"
"warning","import.source.no_exercise_blocks","","thuvienhoclieu.com-SGK-chuyen-de-Toan-10-tu-nam-2026.pdf","math10.assessment.integrated_review","","import.issues[0]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","thuvienhoclieu.com-SGK-Toan-10-tu-nam-2026-Tap-1.pdf","math10.assessment.integrated_review","","import.issues[1]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","thuvienhoclieu.com-SGK-Toan-10-tu-nam-2026-Tap-2.pdf","math10.assessment.integrated_review","","import.issues[2]","No exercise blocks were detected in this source."
"blocker","display.formula_review","math10.math10.algebra.logic_sets.menh_de_va_tap_hop_bo_de_on_tap_mon_toan_10_chu_de_menh_de_va_tap_hop_pdf.q35","menh de va tap hop/bo-de-on-tap-mon-toan-10-chu-de-menh-de-va-tap-hop.pdf","math10.algebra.logic_sets","prompt","questions[894].prompt","Question appears to have fragmented PDF formula text that may not render as a readable expression."
"blocker","display.formula_review","math10.math10.algebra.logic_sets.menh_de_va_tap_hop_chuyen_de_menh_de_va_tap_hop_toan_10_ket_noi_tri_thuc_voi_cuoc_song_pdf.q537","menh de va tap hop/chuyen-de-menh-de-va-tap-hop-toan-10-ket-noi-tri-thuc-voi-cuoc-song.pdf","math10.algebra.logic_sets","prompt","questions[1677].prompt","Question has private-use formula/font glyphs (1 found)."
"blocker","display.formula_review","math10.math10.algebra.logic_sets.menh_de_va_tap_hop_chuyen_de_menh_de_va_tap_hop_toan_10_ket_noi_tri_thuc_voi_cuoc_song_pdf.q651","menh de va tap hop/chuyen-de-menh-de-va-tap-hop-toan-10-ket-noi-tri-thuc-voi-cuoc-song.pdf","math10.algebra.logic_sets","prompt","questions[1791].prompt","Question has private-use formula/font glyphs (1 found)."
"blocker","display.formula_review","math10.math10.assessment.integrated_review.bai_giang_trong_tam_mon_toan_lop_10_pdf.q35","bai giang trong tam mon toan lop 10.pdf","math10.assessment.integrated_review","prompt","questions[8105].prompt","Question appears to have inline formula text with unbalanced delimiters or leaked fragments near answer choices."
"blocker","display.formula_review","math10.math10.algebra.inequalities_one_variable.bai_giang_trong_tam_mon_toan_lop_10_pdf.q56","bai giang trong tam mon toan lop 10.pdf","math10.algebra.inequalities_one_variable","prompt","questions[8125].prompt","Question has private-use formula/font glyphs (2 found)."
"blocker","display.formula_review","math10.math10.algebra.inequalities_one_variable.bai_giang_trong_tam_mon_toan_lop_10_pdf.q57","bai giang trong tam mon toan lop 10.pdf","math10.algebra.inequalities_one_variable","prompt","questions[8126].prompt","Question appears to have inline formula text with unbalanced delimiters or leaked fragments near answer choices."
"blocker","display.formula_review","math10.math10.assessment.integrated_review.bai_giang_trong_tam_mon_toan_lop_10_pdf.q62","bai giang trong tam mon toan lop 10.pdf","math10.assessment.integrated_review","prompt","questions[8131].prompt","Question has private-use formula/font glyphs (4 found)."
"blocker","display.formula_review","math10.math10.assessment.integrated_review.bai_giang_trong_tam_mon_toan_lop_10_pdf.q77","bai giang trong tam mon toan lop 10.pdf","math10.assessment.integrated_review","prompt","questions[8146].prompt","Question appears to have inline formula text with unbalanced delimiters or leaked fragments near answer choices."
"blocker","display.image_missing","math10.math10.assessment.integrated_review.bai_giang_trong_tam_mon_toan_lop_10_pdf.q126","bai giang trong tam mon toan lop 10.pdf","math10.assessment.integrated_review","prompt","questions[8189].prompt","Question appears to depend on an original figure/table/image that has not been captured."
