"severity","code","questionId","sourceFile","topicId","field","path","message"
"warning","import.source.no_exercise_blocks","","CHUYÊN ĐỀ HÌNH HỌC.docx","math3.geometry.midpoint_perimeter_area","","import.issues[0]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","CHUYEN DE TINH NHANH.docx","math3.number.mul_div_table","","import.issues[1]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","TIM X.docx","math3.number.ops_100000","","import.issues[2]","No exercise blocks were detected in this source."
